id,Site,SurveyDate,Plane_Height,Area_2D,Area_3D,Volume,Errors,SitePart,ProcessedFile,TripDate,SiteGroup,TripGroup,Full_ID,Max_Volume,Segment,Norm_Vol
11,003l,11/6/1997,minto8K,16892.45498,17388.93681,35913.16122,3040.641896,Channel,Channel_Low_Elevation.csv,11/6/1997,long,long,003l_chanminto8K,72592.76076,1_UMC,0.49
12,003l,4/15/1998,minto8K,16880.73496,17427.35943,21684.86176,3038.532293,Channel,Channel_Low_Elevation.csv,4/15/1998,long,long,003l_chanminto8K,72592.76076,1_UMC,0.30
13,003l,5/6/1999,minto8K,16887.41718,17310.99085,39365.08553,3039.735092,Channel,Channel_Low_Elevation.csv,5/4/1999,long,long,003l_chanminto8K,72592.76076,1_UMC,0.54
14,003l,3/18/2000,minto8K,16701.70416,17195.54298,35123.35351,3006.30675,Channel,Channel_Low_Elevation.csv,3/17/2000,long,long,003l_chanminto8K,72592.76076,1_UMC,0.48
15,003l,8/19/2000,minto8K,16766.3802,17248.10406,21156.26109,3017.948435,Channel,Channel_Low_Elevation.csv,8/19/2000,long,na,003l_chanminto8K,72592.76076,1_UMC,0.29
16,003l,9/9/2000,minto8K,16809.37009,17412.78443,20654.25462,1849.03071,Channel,Channel_Low_Elevation.csv,9/9/2000,long,na,003l_chanminto8K,72592.76076,1_UMC,0.28
17,003l,4/27/2002,minto8K,16892.42451,17459.79863,27897.43542,1858.166696,Channel,Channel_Low_Elevation.csv,4/27/2002,long,na,003l_chanminto8K,72592.76076,1_UMC,0.38
18,003l,6/1/2004,minto8K,16892.42427,17423.81255,35686.26224,1858.16667,Channel,Channel_Low_Elevation.csv,6/1/2004,long,na,003l_chanminto8K,72592.76076,1_UMC,0.49
19,003l,11/13/2004,minto8K,16891.87434,17259.95345,50734.20111,1858.106177,Channel,Channel_Low_Elevation.csv,11/13/2004,long,na,003l_chanminto8K,72592.76076,1_UMC,0.70
20,003l,12/2/2004,minto8K,16840.30796,17615.04085,22236.07019,1852.433876,Channel,Channel_Low_Elevation.csv,12/2/2004,long,na,003l_chanminto8K,72592.76076,1_UMC,0.31
21,003l,2/2/2008,minto8K,16741.66938,16954.94693,63735.89733,1841.583632,Channel,Channel_Low_Elevation.csv,2/2/2008,long,short,003l_chanminto8K,72592.76076,1_UMC,0.88
22,003l,3/28/2008,minto8K,16887.61194,17595.9358,22665.33373,1857.637314,Channel,Channel_Low_Elevation.csv,3/28/2008,long,short,003l_chanminto8K,72592.76076,1_UMC,0.31
0,003l,9/28/1990,8kto25k,2228.733512,2248.472509,2202.57185,89.14934049,Eddy,Eddy_Fluctuating_Zone.csv,6/10/1990,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.48
1,003l,7/26/1991,8kto25k,2387.774515,2415.600812,2543.566201,95.51098058,Eddy,Eddy_Fluctuating_Zone.csv,7/26/1991,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.56
2,003l,11/23/1991,8kto25k,1668.194306,1685.256079,1702.228651,66.72777224,Eddy,Eddy_Fluctuating_Zone.csv,11/1/1991,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.37
3,003l,10/15/1992,8kto25k,2962.687979,2982.504833,2753.16351,118.5075192,Eddy,Eddy_Fluctuating_Zone.csv,10/15/1992,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.60
4,003l,4/1/1993,8kto25k,2805.682284,2830.405601,2550.538237,112.2272914,Eddy,Eddy_Fluctuating_Zone.csv,4/1/1993,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.56
5,003l,11/17/1993,8kto25k,1973.1945,1996.221053,2241.329021,78.92777999,Eddy,Eddy_Fluctuating_Zone.csv,10/8/1993,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.49
6,003l,4/7/1994,8kto25k,2475.730131,2496.975645,2326.162915,99.02920522,Eddy,Eddy_Fluctuating_Zone.csv,4/7/1994,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.51
7,003l,10/21/1994,8kto25k,2209.966541,2230.599771,2138.580458,88.39866164,Eddy,Eddy_Fluctuating_Zone.csv,11/20/1994,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.47
8,003l,4/24/1995,8kto25k,2565.081388,2586.533283,2359.208074,102.6032555,Eddy,Eddy_Fluctuating_Zone.csv,4/24/1995,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.51
9,003l,6/23/1995,8kto25k,2502.56948,2528.212662,2401.957119,100.1027792,Eddy,Eddy_Fluctuating_Zone.csv,6/22/1995,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.52
10,003l,2/13/1996,8kto25k,825.3511944,850.8273101,1223.478387,33.01404778,Eddy,Eddy_Fluctuating_Zone.csv,2/13/1996,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.27
11,003l,4/16/1996,8kto25k,844.9368292,871.271172,1359.891065,33.79747317,Eddy,Eddy_Fluctuating_Zone.csv,4/15/1996,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.30
12,003l,9/13/1996,8kto25k,348.1193106,379.0490575,763.2758202,13.92477242,Eddy,Eddy_Fluctuating_Zone.csv,9/12/1996,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.17
13,003l,2/14/1997,8kto25k,395.9859474,427.9035778,646.8679283,15.8394379,Eddy,Eddy_Fluctuating_Zone.csv,2/13/1997,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.14
14,003l,4/20/1997,8kto25k,351.8882128,386.3231857,518.6329488,14.07552851,Eddy,Eddy_Fluctuating_Zone.csv,4/20/1997,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.11
15,003l,8/24/1997,8kto25k,348.7138778,382.2450477,289.9986618,13.94855511,Eddy,Eddy_Fluctuating_Zone.csv,8/23/1997,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.06
16,003l,11/3/1997,8kto25k,1313.224025,1351.103552,1167.035684,52.52896102,Eddy,Eddy_Fluctuating_Zone.csv,11/3/1997,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.25
17,003l,11/6/1997,8kto25k,706.7010983,739.7026602,625.2474452,28.26804393,Eddy,Eddy_Fluctuating_Zone.csv,11/6/1997,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.14
18,003l,4/15/1998,8kto25k,341.6010529,370.2518986,296.6002721,13.66404212,Eddy,Eddy_Fluctuating_Zone.csv,4/15/1998,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.06
19,003l,5/6/1999,8kto25k,1055.681289,1088.76692,451.0238717,42.22725156,Eddy,Eddy_Fluctuating_Zone.csv,5/4/1999,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.10
20,003l,3/18/2000,8kto25k,2092.675946,2135.524165,2047.037374,83.70703784,Eddy,Eddy_Fluctuating_Zone.csv,3/17/2000,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.45
21,003l,6/2/2000,8kto25k,759.3564818,780.0095068,575.8790682,30.37425927,Eddy,Eddy_Fluctuating_Zone.csv,6/1/2000,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.13
22,003l,8/19/2000,8kto25k,749.9261955,768.1082536,552.6826399,29.99704782,Eddy,Eddy_Fluctuating_Zone.csv,8/19/2000,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.12
23,003l,9/9/2000,8kto25k,808.2206181,828.4277219,574.0615075,32.32882472,Eddy,Eddy_Fluctuating_Zone.csv,9/9/2000,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.13
24,003l,10/5/2001,8kto25k,1069.590684,1090.806195,844.2190037,42.78362736,Eddy,Eddy_Fluctuating_Zone.csv,10/5/2001,long,long,003l_eddy8kto25k,4582.222577,1_UMC,0.18
25,003l,4/27/2002,8kto25k,894.5377543,916.3652343,663.2501586,35.78151017,Eddy,Eddy_Fluctuating_Zone.csv,4/27/2002,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.14
26,003l,9/20/2002,8kto25k,790.9586852,809.8406375,514.1985924,31.63834741,Eddy,Eddy_Fluctuating_Zone.csv,9/20/2002,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.11
27,003l,4/25/2003,8kto25k,701.3404012,723.5612376,438.2550562,28.05361605,Eddy,Eddy_Fluctuating_Zone.csv,4/25/2003,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.10
28,003l,9/20/2003,8kto25k,680.3094445,702.0782682,419.8901714,27.21237778,Eddy,Eddy_Fluctuating_Zone.csv,9/20/2003,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.09
29,003l,6/1/2004,8kto25k,1334.312241,1360.170512,895.7819703,53.37248962,Eddy,Eddy_Fluctuating_Zone.csv,6/1/2004,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.20
30,003l,11/13/2004,8kto25k,2012.183819,2039.931269,1091.230337,80.48735275,Eddy,Eddy_Fluctuating_Zone.csv,11/13/2004,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.24
31,003l,12/2/2004,8kto25k,1360.47371,1395.312636,1634.908073,54.41894841,Eddy,Eddy_Fluctuating_Zone.csv,12/2/2004,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.36
32,003l,5/7/2005,8kto25k,2142.648078,2171.431217,2088.417049,85.70592312,Eddy,Eddy_Fluctuating_Zone.csv,5/7/2005,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.46
33,003l,10/7/2006,8kto25k,1549.54347,1574.827346,1276.309554,61.98173881,Eddy,Eddy_Fluctuating_Zone.csv,10/7/2006,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.28
34,003l,10/13/2007,8kto25k,2611.413234,2655.932815,1966.7999,104.4565294,Eddy,Eddy_Fluctuating_Zone.csv,10/13/2007,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.43
35,003l,2/2/2008,8kto25k,2257.49117,2302.006827,1737.818575,90.29964682,Eddy,Eddy_Fluctuating_Zone.csv,2/2/2008,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.38
36,003l,3/28/2008,8kto25k,717.9883078,740.6409302,616.2521334,28.71953231,Eddy,Eddy_Fluctuating_Zone.csv,3/28/2008,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.13
37,003l,5/17/2008,8kto25k,576.0202512,599.7827204,482.3652983,23.04081005,Eddy,Eddy_Fluctuating_Zone.csv,5/17/2008,long,na,003l_eddy8kto25k,4582.222577,1_UMC,0.11
38,003l,10/11/2008,8kto25k,575.0041425,602.9585099,406.7189816,23.0001657,Eddy,Eddy_Fluctuating_Zone.csv,10/10/2008,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.09
39,003l,10/10/2009,8kto25k,1057.072051,1089.482716,515.3798475,42.28288203,Eddy,Eddy_Fluctuating_Zone.csv,10/10/2009,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.11
40,003l,10/5/2011,8kto25k,163.5715068,200.7490834,192.0920285,6.542860272,Eddy,Eddy_Fluctuating_Zone.csv,10/5/2011,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.04
41,003l,10/3/2012,8kto25k,811.0027932,858.3669725,324.4949078,32.44011173,Eddy,Eddy_Fluctuating_Zone.csv,10/3/2012,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.07
42,003l,9/21/2013,8kto25k,1406.450748,1452.858834,564.4347808,56.25802992,Eddy,Eddy_Fluctuating_Zone.csv,9/21/2013,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.12
43,003l,9/24/2014,8kto25k,1276.230784,1316.331984,1035.578996,51.04923134,Eddy,Eddy_Fluctuating_Zone.csv,9/23/2014,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.23
44,003l,9/23/2015,8kto25k,1272.009199,1308.537546,1051.258451,50.88036795,Eddy,Eddy_Fluctuating_Zone.csv,9/22/2015,long,short,003l_eddy8kto25k,4582.222577,1_UMC,0.23
0,003l,9/28/1990,above25k,280.4028987,292.1817032,151.4719703,11.21611595,Eddy,Eddy_High_Elevation_Zone.csv,6/10/1990,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.55
1,003l,7/26/1991,above25k,319.251835,336.2470576,202.1075782,12.7700734,Eddy,Eddy_High_Elevation_Zone.csv,7/26/1991,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.73
2,003l,11/23/1991,above25k,271.5020455,288.0053786,167.3101957,10.86008182,Eddy,Eddy_High_Elevation_Zone.csv,11/1/1991,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.61
3,003l,10/15/1992,above25k,324.0106939,337.9774675,213.3191064,12.96042776,Eddy,Eddy_High_Elevation_Zone.csv,10/15/1992,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.77
4,003l,4/1/1993,above25k,268.9979,282.5135706,173.5492997,10.759916,Eddy,Eddy_High_Elevation_Zone.csv,4/1/1993,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.63
5,003l,11/17/1993,above25k,269.5917236,283.5067238,153.353065,10.78366894,Eddy,Eddy_High_Elevation_Zone.csv,10/8/1993,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.56
6,003l,4/7/1994,above25k,264.872734,278.1942049,142.0260713,10.59490936,Eddy,Eddy_High_Elevation_Zone.csv,4/7/1994,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.52
7,003l,10/21/1994,above25k,283.8076395,298.0770985,164.4040869,11.35230558,Eddy,Eddy_High_Elevation_Zone.csv,11/20/1994,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.60
8,003l,4/24/1995,above25k,275.5943361,290.1215747,155.8948902,11.02377344,Eddy,Eddy_High_Elevation_Zone.csv,4/24/1995,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.57
9,003l,6/23/1995,above25k,280.6566766,294.8946321,147.3736735,11.22626706,Eddy,Eddy_High_Elevation_Zone.csv,6/22/1995,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.54
10,003l,2/13/1996,above25k,281.4383496,298.2801208,143.9305739,11.25753398,Eddy,Eddy_High_Elevation_Zone.csv,2/13/1996,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.52
11,003l,4/16/1996,above25k,305.9691681,318.5228311,161.520436,12.23876672,Eddy,Eddy_High_Elevation_Zone.csv,4/15/1996,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.59
12,003l,9/13/1996,above25k,308.6796432,321.8639248,175.1047,12.34718573,Eddy,Eddy_High_Elevation_Zone.csv,9/12/1996,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.64
13,003l,2/14/1997,above25k,276.6898075,294.4348025,179.7211009,11.0675923,Eddy,Eddy_High_Elevation_Zone.csv,2/13/1997,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.65
14,003l,4/20/1997,above25k,236.2315473,256.8104506,165.4694065,9.449261891,Eddy,Eddy_High_Elevation_Zone.csv,4/20/1997,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.60
15,003l,8/24/1997,above25k,155.2689516,177.3472483,71.93079489,6.210758063,Eddy,Eddy_High_Elevation_Zone.csv,8/23/1997,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.26
16,003l,11/3/1997,above25k,144.2550403,160.9197147,55.10916452,5.770201614,Eddy,Eddy_High_Elevation_Zone.csv,11/3/1997,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.20
17,003l,11/6/1997,above25k,155.8834142,174.606138,62.89189735,6.235336566,Eddy,Eddy_High_Elevation_Zone.csv,11/6/1997,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.23
18,003l,4/15/1998,above25k,159.7403233,182.1192383,80.39767711,6.389612932,Eddy,Eddy_High_Elevation_Zone.csv,4/15/1998,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.29
19,003l,5/6/1999,above25k,131.6094393,147.7925251,38.08348697,5.264377572,Eddy,Eddy_High_Elevation_Zone.csv,5/4/1999,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.14
20,003l,3/18/2000,above25k,128.0199575,144.7793137,41.27391927,5.1207983,Eddy,Eddy_High_Elevation_Zone.csv,3/17/2000,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.15
21,003l,6/2/2000,above25k,137.1556156,153.4668718,41.74272607,5.486224625,Eddy,Eddy_High_Elevation_Zone.csv,6/1/2000,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.15
22,003l,8/19/2000,above25k,139.4388088,154.4804491,41.13183161,5.577552353,Eddy,Eddy_High_Elevation_Zone.csv,8/19/2000,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.15
23,003l,9/9/2000,above25k,140.8994534,156.0687866,37.57321016,5.635978138,Eddy,Eddy_High_Elevation_Zone.csv,9/9/2000,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.14
24,003l,10/5/2001,above25k,138.748909,152.5039216,38.5193192,5.54995636,Eddy,Eddy_High_Elevation_Zone.csv,10/5/2001,long,long,003l_eddyabove25k,275.3010467,1_UMC,0.14
25,003l,4/27/2002,above25k,142.7701114,159.6693335,45.23048556,5.710804454,Eddy,Eddy_High_Elevation_Zone.csv,4/27/2002,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.16
26,003l,9/20/2002,above25k,148.4337728,163.483653,55.18071823,5.937350913,Eddy,Eddy_High_Elevation_Zone.csv,9/20/2002,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.20
27,003l,4/25/2003,above25k,139.861554,155.6015366,39.17026953,5.594462161,Eddy,Eddy_High_Elevation_Zone.csv,4/25/2003,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.14
28,003l,9/20/2003,above25k,127.8491754,140.5947248,24.94672959,5.113967018,Eddy,Eddy_High_Elevation_Zone.csv,9/20/2003,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.09
29,003l,6/1/2004,above25k,130.6533092,144.0759692,28.70943239,5.226132367,Eddy,Eddy_High_Elevation_Zone.csv,6/1/2004,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.10
30,003l,11/13/2004,above25k,128.7877469,141.6875533,26.03142595,5.151509874,Eddy,Eddy_High_Elevation_Zone.csv,11/13/2004,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.09
31,003l,12/2/2004,above25k,262.1451689,275.6183037,65.69878664,10.48580676,Eddy,Eddy_High_Elevation_Zone.csv,12/2/2004,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.24
32,003l,5/7/2005,above25k,179.7501284,192.3682853,61.83016961,7.190005137,Eddy,Eddy_High_Elevation_Zone.csv,5/7/2005,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.22
33,003l,10/7/2006,above25k,173.2180773,185.7053328,56.60052704,6.928723092,Eddy,Eddy_High_Elevation_Zone.csv,10/7/2006,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.21
34,003l,10/13/2007,above25k,160.2161006,172.5857182,48.70070785,6.408644026,Eddy,Eddy_High_Elevation_Zone.csv,10/13/2007,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.18
35,003l,2/2/2008,above25k,161.7407174,174.343539,49.50021139,6.469628696,Eddy,Eddy_High_Elevation_Zone.csv,2/2/2008,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.18
36,003l,3/28/2008,above25k,169.1626437,181.3102217,52.88372231,6.766505749,Eddy,Eddy_High_Elevation_Zone.csv,3/28/2008,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.19
37,003l,5/17/2008,above25k,164.6822801,177.2265488,54.21964732,6.587291205,Eddy,Eddy_High_Elevation_Zone.csv,5/17/2008,long,na,003l_eddyabove25k,275.3010467,1_UMC,0.20
38,003l,10/11/2008,above25k,161.3330768,174.468143,52.64514137,6.453323071,Eddy,Eddy_High_Elevation_Zone.csv,10/10/2008,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.19
39,003l,10/10/2009,above25k,161.7614704,175.1400315,56.76703505,6.470458817,Eddy,Eddy_High_Elevation_Zone.csv,10/10/2009,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.21
40,003l,10/5/2011,above25k,159.1360565,171.8095249,47.60390673,6.365442259,Eddy,Eddy_High_Elevation_Zone.csv,10/5/2011,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.17
41,003l,10/3/2012,above25k,149.8939238,164.3578358,45.845206,5.995756954,Eddy,Eddy_High_Elevation_Zone.csv,10/3/2012,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.17
42,003l,9/21/2013,above25k,115.6606752,136.2287034,28.67714756,4.626427009,Eddy,Eddy_High_Elevation_Zone.csv,9/21/2013,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.10
43,003l,9/24/2014,above25k,120.7763909,139.6867922,28.5554342,4.831055635,Eddy,Eddy_High_Elevation_Zone.csv,9/23/2014,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.10
44,003l,9/23/2015,above25k,133.9165249,152.086333,32.33643769,5.356660995,Eddy,Eddy_High_Elevation_Zone.csv,9/22/2015,long,short,003l_eddyabove25k,275.3010467,1_UMC,0.12
0,003l,11/17/1993,minto8K,5241.649359,5420.277923,20395.10876,943.4968846,Eddy,Eddy_Low_Elevation_Zone.csv,10/8/1993,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.67
1,003l,4/7/1994,minto8K,4603.795563,4792.746919,23300.90586,828.6832014,Eddy,Eddy_Low_Elevation_Zone.csv,4/7/1994,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.77
2,003l,10/21/1994,minto8K,5080.714535,5302.166991,20769.32212,914.5286164,Eddy,Eddy_Low_Elevation_Zone.csv,11/20/1994,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.69
3,003l,4/24/1995,minto8K,4735.85372,4959.475023,22688.63723,852.4536696,Eddy,Eddy_Low_Elevation_Zone.csv,4/24/1995,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.75
4,003l,6/23/1995,minto8K,4791.014882,5031.306215,21424.55471,862.3826787,Eddy,Eddy_Low_Elevation_Zone.csv,6/22/1995,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.71
5,003l,2/13/1996,minto8K,6465.770868,6717.466285,15138.57634,1163.838756,Eddy,Eddy_Low_Elevation_Zone.csv,2/13/1996,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.50
6,003l,4/16/1996,minto8K,6420.153954,6759.794626,6736.014816,1155.627712,Eddy,Eddy_Low_Elevation_Zone.csv,4/15/1996,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.22
7,003l,9/13/1996,minto8K,6905.388559,7298.732751,8209.988745,1242.969941,Eddy,Eddy_Low_Elevation_Zone.csv,9/12/1996,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.27
8,003l,2/14/1997,minto8K,6906.786975,7314.904234,9187.579564,1243.221655,Eddy,Eddy_Low_Elevation_Zone.csv,2/13/1997,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.30
9,003l,4/20/1997,minto8K,7003.086577,7357.298556,10470.58401,1260.555584,Eddy,Eddy_Low_Elevation_Zone.csv,4/20/1997,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.35
10,003l,8/24/1997,minto8K,7078.733486,7436.237249,12702.51466,1274.172028,Eddy,Eddy_Low_Elevation_Zone.csv,8/23/1997,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.42
11,003l,11/3/1997,minto8K,6123.686532,6325.811391,14851.69155,1102.263576,Eddy,Eddy_Low_Elevation_Zone.csv,11/3/1997,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.49
12,003l,11/6/1997,minto8K,6729.170558,6972.706257,13016.45723,1211.2507,Eddy,Eddy_Low_Elevation_Zone.csv,11/6/1997,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.43
13,003l,4/15/1998,minto8K,7015.168871,7382.043146,13981.14251,1262.730397,Eddy,Eddy_Low_Elevation_Zone.csv,4/15/1998,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.46
14,003l,5/6/1999,minto8K,6411.43467,6675.478308,17611.3505,1154.058241,Eddy,Eddy_Low_Elevation_Zone.csv,5/4/1999,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.58
15,003l,3/18/2000,minto8K,5370.785025,5624.380441,20822.28955,966.7413045,Eddy,Eddy_Low_Elevation_Zone.csv,3/17/2000,long,long,003l_eddyminto8K,30247.88167,1_UMC,0.69
16,003l,8/19/2000,minto8K,6713.093993,6950.938365,12459.32939,1208.356919,Eddy,Eddy_Low_Elevation_Zone.csv,8/19/2000,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.41
17,003l,9/9/2000,minto8K,6650.621148,6996.220084,12258.82326,731.5683263,Eddy,Eddy_Low_Elevation_Zone.csv,9/9/2000,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.41
18,003l,4/27/2002,minto8K,6461.931812,6774.550089,15831.08338,710.8124994,Eddy,Eddy_Low_Elevation_Zone.csv,4/27/2002,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.52
19,003l,6/1/2004,minto8K,6135.900033,6431.324792,19569.74331,674.9490036,Eddy,Eddy_Low_Elevation_Zone.csv,6/1/2004,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.65
20,003l,11/13/2004,minto8K,5337.686408,5514.06319,22931.26682,587.1455049,Eddy,Eddy_Low_Elevation_Zone.csv,11/13/2004,long,na,003l_eddyminto8K,30247.88167,1_UMC,0.76
